yahoo_score,date
0.54068065,28/1/2022
-0.54084134,27/1/2022
0,26/1/2022
0.61598235,25/1/2022
-0.54328704,24/1/2022
-0.5319193,23/1/2022
0,22/1/2022
-0.53058726,21/1/2022
-0.5030698,20/1/2022
0,19/1/2022
0,18/1/2022
0,17/1/2022
0.5038974,16/1/2022
-0.5030919,15/1/2022
-0.540176,14/1/2022
0,13/1/2022
0.5401789,12/1/2022
0.5385594,11/1/2022
0.5385594,10/1/2022
-0.53589785,9/1/2022
0,8/1/2022
-0.53137726,7/1/2022
-0.53137726,6/1/2022
-0.5126686,5/1/2022
0.5153092,4/1/2022
-0.5457084,3/1/2022
0.5038619,2/1/2022
0,1/1/2022
