date,identifier,tweets
2022-01-28 01:54:29+00:00,c,"@stevenmarkryan Given how hard insanely FSD is, I think it may take 5 years or more before any company besides Tesla solves it"
2022-01-28 00:10:47+00:00,c,@StockSwingAlert @cybrtrkguy I have a feeling that the gerrymandering will not work as well as they think
2022-01-27 23:56:10+00:00,c,And in the darkness bind them https://t.co/BvxR4HTTq1
2022-01-27 23:46:25+00:00,c,"@guper777 Honestly, I would let the border regions vote. Let the people there actually decide."
2022-01-27 23:41:28+00:00,c,@cybrtrkguy Vote them out
2022-01-27 23:39:57+00:00,c,"If you scare people enough, they will demand removal of freedom. This is the path to tyranny."
2022-01-27 22:24:24+00:00,c,Seems odd that the UN still hasn’t released 2020 world death rates
2022-01-27 22:05:43+00:00,c,@jayvasdigital Freedom is being stripped away one piece at a time until it is gone
2022-01-27 22:03:29+00:00,c,"@LimitingThe @baglino Manganese also requires less lithium, as it operates at higher voltage"
2022-01-27 22:01:06+00:00,c,@LimitingThe @baglino Just that manganese is an alternative to iron &amp; phosphorus for scaling cathode production to several TWh/year
2022-01-27 21:23:20+00:00,c,@incentives101 @ICRicardoLara Exactly
2022-01-27 21:13:57+00:00,c,@ICRicardoLara Your policies are directly responsible for the outrageously high insurance premiums paid by Californians
2022-01-27 21:12:27+00:00,c,@ICRicardoLara You should be voted out of office
2022-01-27 21:00:09+00:00,c,CB radios are free from govt/media control
2022-01-27 20:46:21+00:00,c,@RenataKonkoly @POTUS 🤣
2022-01-27 20:32:03+00:00,c,@EmmetPeppers Exactly
2022-01-27 18:58:14+00:00,c,@MemesOfMars @disclosetv 👍
2022-01-27 18:57:45+00:00,c,@PeterAttiaMD 💯
2022-01-27 18:56:46+00:00,c,@disclosetv I am in awe of Sweden
2022-01-27 18:45:22+00:00,c,Canadian truckers rule
2022-01-27 18:33:57+00:00,c,@kimpaquette Biden is treating the American public like fools
2022-01-27 18:29:34+00:00,c,@dogeofficialceo @EvaFoxU @POTUS 🤣
2022-01-27 18:24:36+00:00,c,@EvaFoxU @POTUS Biden is a damp 🧦 puppet in human form
2022-01-27 18:18:55+00:00,c,@PPathole I might have made it too pointy!
2022-01-27 17:48:32+00:00,c,"@POTUS Starts with a T
Ends with an A
ESL in the middle"
2022-01-27 17:31:57+00:00,c,Je m’aple syrup
2022-01-27 16:59:54+00:00,c,"@WholeMarsBlog They’re being driven around in limousines, so they can’t grok it"
2022-01-27 16:57:31+00:00,c,"@TashaARK Sounds about right for autonomous cars.

Optimus will greatly exceed this. The economy will be as big as people want it to be. 

There will be no scarcity, except that which is artificially created."
2022-01-27 08:29:07+00:00,c,@Gfilche @Tesla ♥️
2022-01-26 16:47:50+00:00,c,@WholeMarsBlog They appear to have some room for improvement
2022-01-26 16:16:02+00:00,c,@wonderofscience https://t.co/qFc6vxeFFl
2022-01-26 05:57:26+00:00,c,@karpathy 💯
2022-01-26 05:37:18+00:00,c,@alex_avoigt 🤣
2022-01-26 01:07:59+00:00,c,Been driving latest Cybertruck prototype around Giga Texas. It’s awesome!
2022-01-26 01:06:30+00:00,c,@GailAlfarATX I have trouble understanding any other motivations tbh
2022-01-25 16:48:24+00:00,c,@BillyM2k Nice
2022-01-25 16:44:29+00:00,c,@BillyM2k It’s like he could see the future!
2022-01-25 12:39:40+00:00,c,https://t.co/iLfCWdi0Lb
2022-01-25 12:30:40+00:00,c,I will eat a happy meal on tv if @McDonalds accepts Dogecoin
2022-01-25 11:13:22+00:00,c,@MarcusHouse @technology This is a matter of much internal debate
2022-01-25 11:06:55+00:00,c,"@technology Our biggest limitation with Fremont is convincing enough associates to build cars when they have so many other job opportunities in the Bay Area! 

Thanks again Tesla team for doing the hard work of building real products that people love ♥️"
2022-01-25 10:48:55+00:00,c,https://t.co/ReDlSVLcl7
2022-01-25 10:43:54+00:00,c,https://t.co/gT0jq8Z6iH
2022-01-25 08:07:16+00:00,c,@skorusARK I sense a trend
2022-01-21 09:30:52+00:00,c,@business Great wisdom
2022-01-21 09:23:26+00:00,c,Twitter is spending engineering resources on this bs while crypto scammers are throwing a spambot block party in every thread!?
2022-01-21 09:15:43+00:00,c,@NutaIie 🤣
2022-01-21 09:12:41+00:00,c,This is annoying https://t.co/KAkDl29CTX
2022-01-21 07:14:08+00:00,c,"@WholeMarsBlog @Reuters This is a hard thing for us to do right now, as we don’t have enough satellites with laser links and there are already geo sats that serve the Tonga region. That is why I’m asking for clear confirmation."
2022-01-21 07:08:35+00:00,c,"@matthew_kerle @WholeMarsBlog @CodingMark Yeah, this saves a whole tap. Just swipe down for auto navigate."
2022-01-21 07:06:40+00:00,c,@Reuters Could people from Tonga let us know if it is important for SpaceX to send over Starlink terminals?
2022-01-21 06:28:31+00:00,c,@thetweethaver wtf
2022-01-21 05:45:03+00:00,c,@teslaownersSV An SUV that is faster than a Formula 1 race car https://t.co/43YJpFDGpf
2022-01-21 04:25:56+00:00,c,@Rainmaker1973 @supriyasahuias Baby X is just like this haha
2022-01-21 00:28:26+00:00,c,@Nitzao @bevedoni Most people have no idea
2022-01-20 08:28:07+00:00,c,@BLKMDL3 Yeah
2022-01-20 03:57:33+00:00,c,Maybe something like this https://t.co/PUBLdaewt8
2022-01-20 03:45:25+00:00,c,https://t.co/rTlxHR4zi1
2022-01-20 03:17:49+00:00,c,Frank &amp; Beans https://t.co/xJfuW6HKs4
2022-01-19 21:01:55+00:00,c,@blueskykites @Grimezsz @WholeMarsBlog @SpaceXMR @musky_meme @CovelloMassimo @SpaceX @Kristennetten @EliBurton_ @Erdayastronaut @28delayslater @TeslaAndDoge @bevedoni @TeslaHype @OwenSparks_ @RationalEtienne It’s true – I do think a lot about rocket engine chamber pressure ahaha
2022-01-19 18:27:20+00:00,c,@hiromichimizuno Same
2022-01-19 17:12:38+00:00,c,@sdteslaowners @Alandbru Ok
2022-01-19 17:11:23+00:00,c,@nichegamer But is he playing it on Legendary difficulty?
2022-01-19 10:01:17+00:00,c,@stevenmarkryan Will do our best. Decentralized control of the robots will be critical.
2022-01-19 09:59:00+00:00,c,@WholeMarsBlog @RealDanODowd Sheer luck
2022-01-19 09:28:51+00:00,c,@AdamSinger I hear versions of this often irl
2022-01-19 09:11:10+00:00,c,"Tesla AI might play a role in AGI, given that it trains against the outside world, especially with the advent of Optimus"
2022-01-19 08:28:16+00:00,c,https://t.co/n2ivCG4E8b
2022-01-19 02:51:53+00:00,c,Believe in the future!
2022-01-19 02:49:42+00:00,c,Back to the moon soon
2022-01-19 02:46:07+00:00,c,https://t.co/vltBvTXExY
2022-01-19 02:19:24+00:00,c,@SpaceX Another 49 Starlinks reach orbit
2022-01-19 01:38:56+00:00,c,@PPathole @Tesla I was just there. Good progress!
2022-01-19 00:42:18+00:00,c,@tesla_raj People do not yet understand how valuable an autonomous vehicle will be
2022-01-19 00:14:58+00:00,c,@nichegamer https://t.co/mzY5LICG8r
2022-01-19 00:10:25+00:00,c,"@nichegamer Last year, Japan had ~800k births &amp; life expectancy is 85 years (impressively high!), implying future population of only 68M, dropping almost half from current population of 126M.

That’s a lot of ghost towns &amp; cities."
2022-01-18 22:42:37+00:00,c,@jhall Tragic case of ego/ability&gt;&gt;1
2022-01-18 19:49:30+00:00,c,https://t.co/OE5bjbf6Gq
2022-01-18 19:47:25+00:00,c,https://t.co/xMaVipUuYf
2022-01-18 17:08:52+00:00,c,"If there aren’t enough people for Earth, then there definitely won’t be enough for Mars ☹️"
2022-01-18 17:06:50+00:00,c,@sweetsinner3 Trying to set a good example 😀
2022-01-18 17:06:08+00:00,c,@lukemiler Exactly
2022-01-18 17:05:50+00:00,c,"UN projections are utter nonsense. Just multiply last year’s births by life expectancy. Given downward trend in birth rate, that is best case unless reversed."
2022-01-18 17:02:24+00:00,c,We should be much more worried about population collapse
2022-01-18 15:44:00+00:00,c,@Rainmaker1973 I see where Frank Herbert got some of his ideas
2022-01-18 07:56:47+00:00,c,@heydave7 🤣
2022-01-18 07:18:46+00:00,c,@WholeMarsBlog Yup
2022-01-18 06:53:52+00:00,c,@BillyM2k Honestly I woulda clicked it
2022-01-18 06:19:24+00:00,c,"@teslaownersSV Spatial &amp; temporal memory are improving, so there will be less flicker"
2022-01-18 03:09:22+00:00,c,"@SawyerMerritt Yeah, unfortunately this is becoming a security issue"
2022-01-18 02:44:21+00:00,c,"@PPathole Cool, we’re both born 69 days after 4/20 haha"
2022-01-17 23:02:41+00:00,c,"@DriveTeslaca I obv can’t comment on every rumor, but this isn’t true. Am headed to Berlin mid Feb, not this week."
2022-01-17 21:03:53+00:00,c,@teslaownersSV Pretty wild
2022-01-17 20:04:41+00:00,c,@BillyM2k The most entertaining outcome is the most likely
2022-01-17 17:59:09+00:00,c,@pmarca Accurate video 🤣
2022-01-17 17:04:48+00:00,c,@WholeMarsBlog 10.9 going out later this week
2022-01-17 15:14:43+00:00,c,@WholeMarsBlog Indeed 🧐
2022-01-17 05:00:07+00:00,c,@pervocracy 🤣👍
2022-01-16 23:58:06+00:00,c,@BillyM2k Yeah
2022-01-16 23:41:39+00:00,c,@NoahWebb_ We will start rolling out FSD beta in Canada cautiously in next 2 to 4 weeks
2022-01-16 23:32:47+00:00,c,😅
2022-01-16 23:31:47+00:00,c,Good thing I never tweet anything controversial https://t.co/T7sD1q1hvd
2022-01-16 23:17:13+00:00,c,@heydave7 @RealDanODowd @nytimes @Tesla @RealDawnProject Green Hills software is a pile of trash. Linux ftw.
2022-01-16 23:12:29+00:00,c,It is heartening to see the rise of individualist vs corporate media https://t.co/7w9WDHhO3o
2022-01-16 21:06:32+00:00,c,"@lexfridman In theory, it saves landing leg mass &amp; enables immediate reflight of an otherwise unwieldy, giant rocket"
2022-01-16 20:50:19+00:00,c,@GerberKawasaki Correct
2022-01-16 11:45:27+00:00,c,@TheHorrorMaster Good campaign
2022-01-16 11:25:23+00:00,c,@archillect There sure are a lot of interesting ways to arrange pixels
2022-01-16 09:04:19+00:00,c,@archillect AI in a box that is a hall of mirrors from the inside
2022-01-16 06:49:23+00:00,c,@WorldAndScience Civilization is only ~5000 years old https://t.co/SMHYvKvr3D
2022-01-16 06:19:15+00:00,c,So informative https://t.co/rTktvhYukK
2022-01-16 03:17:49+00:00,c,"@Rainmaker1973 There is a 💯 chance of *all* species extinction due to expansion of the sun, unless humanity makes life multiplanetary"
2022-01-16 01:34:09+00:00,c,@clarkmoody https://t.co/siHLbpx4Ua
2022-01-16 00:42:57+00:00,c,@DriveTeslaca @Tesla Firmware fix to recalibrate heat pump expansion valve is rolling out now
2022-01-16 00:03:47+00:00,c,@DriveTeslaca @Tesla Fixing this is a high priority
2022-01-15 23:30:10+00:00,c,https://t.co/6qGivJoQf0
2022-01-15 18:50:33+00:00,c,"1469 Starlink satellites active
272 moving to operational orbits
Laser links activate soon"
2022-01-15 18:08:03+00:00,c,@SawyerMerritt @Tesla Big difference
2022-01-15 07:09:37+00:00,c,🔝
2022-01-15 03:31:59+00:00,c,@BillyM2k Birds are a myth
2022-01-14 17:58:22+00:00,c,@Rainmaker1973 😮
2022-01-14 06:18:50+00:00,c,Tesla merch buyable with Dogecoin
2022-01-14 04:50:06+00:00,c,"@cleantechnica Yeah, doesn’t make sense"
2022-01-13 20:28:08+00:00,c,@Teslarati @ResidentSponge Almost all input is error. Car should do the right thing automatically.
2022-01-13 20:20:42+00:00,c,@askerlee @giffmana Dojo
2022-01-13 13:20:28+00:00,c,@Rainmaker1973 Yup
2022-01-13 13:01:49+00:00,c,@wintonARK Turns out … yes
2022-01-12 23:02:42+00:00,c,@PPathole @Tesla Still working through a lot of challenges with the government
2022-01-12 07:14:09+00:00,c,@Model3Owners Great explanation!
2022-01-12 04:25:22+00:00,c,@engineers_feed He was truly exceptional
2022-01-12 04:10:25+00:00,c,Bizarre anti-environment move by govt of California https://t.co/1OwdBNWbxT
2022-01-12 00:00:37+00:00,c,"@vincent13031925 Tesla is working as fast as possible to support Tesla owners worldwide. 

Sustainable energy affects everyone on Earth, as we all share one atmosphere."
2022-01-11 18:38:41+00:00,c,@ID_AA_Carmack 🤣
2022-01-11 18:31:26+00:00,c,@moxie Accurate
2022-01-11 04:20:18+00:00,c,@cleantechnica Most people have no idea how fast sustainable energy is growing!
2022-01-10 15:37:25+00:00,c,"@APompliano If the alarming collapse in birth rate continues, civilization will indeed die with a whimper in adult diapers"
2022-01-10 03:23:56+00:00,c,@lexfridman Mind-blowing that over 80% of humans have a smart phone
2022-01-09 23:53:14+00:00,c,Starship launch &amp; catch tower https://t.co/5mLIQwwu0k
2022-01-09 08:25:44+00:00,c,https://t.co/uiHoMrpifZ
2022-01-08 18:38:55+00:00,c,"@BLKMDL3 @Tesla It’s our best car ever, along with the Plaid X"
2022-01-07 23:36:11+00:00,c,"@WholeMarsBlog It was a mistake to try to use the Elise. In the end, only ~5% of the Elise parts ended up being used. Tesla Roadster is a totally different car."
2022-01-07 23:30:46+00:00,c,@heyitsyashu Monthly subscription price will rise when FSD goes to wide release
2022-01-07 23:28:12+00:00,c,FSD price will rise as we get closer to FSD production code release
2022-01-07 23:26:23+00:00,c,Just in the US
2022-01-07 23:09:17+00:00,c,Tesla FSD price rising to $12k on Jan 17
2022-01-07 23:06:01+00:00,c,"@BLKMDL3 Beta 10.9 should be ready in about a week. 

Beta 11 with single city/highway software stack &amp; many other architectural upgrades probably next month."
2022-01-06 23:39:59+00:00,c,Starlinks with “lasers” deployed to orbit https://t.co/Y1eg9gl7sJ
2022-01-06 20:07:15+00:00,c,@Redicnomad Masters of Doom is a great book
2022-01-06 06:51:11+00:00,c,nice
2022-01-06 06:29:28+00:00,c,@engineers_feed 👍
2022-01-05 17:13:15+00:00,c,@ScottAdamsSays 🤣🤣
2022-01-05 02:44:04+00:00,c,@teslaownersSV Room to improve …
2022-01-04 20:59:04+00:00,c,@engineers_feed Earth should be called Water
2022-01-04 20:57:43+00:00,c,@SawyerMerritt !
2022-01-04 18:44:08+00:00,c,@Rainmaker1973 Major improvement!
2022-01-04 17:33:23+00:00,c,https://t.co/NH4S2wDizC
2022-01-04 10:14:32+00:00,c,@Rainmaker1973 Tonnage to orbit is the more fundamental metric
2022-01-03 22:10:17+00:00,c,@wintonARK Absolutely. This is just bad math.
2022-01-03 22:05:41+00:00,c,@nextspaceflight @BocaChicaGal Yes
2022-01-03 22:04:59+00:00,c,Raptor 2 now operates routinely at 300 bar main chamber pressure
2022-01-03 18:44:10+00:00,c,@jack Reminds me of when I hex edited Ultima V to get out of the final maze
2022-01-03 18:31:27+00:00,c,@ClaudioOmbrella @Tesla @slcuervo @alex_avoigt @ClubTeslaES @teslaownersSV @TeslaSchweiz @TeslaMotorsClub @vaielettrico 🇨🇭Yay Switzerland!! 🇨🇭
2022-01-03 02:58:55+00:00,c,@auren There is no way to be in touch with voters when you’re three generations away from voting age
2022-01-02 22:56:00+00:00,c,https://t.co/LA9hPzVlGx
2022-01-02 18:19:33+00:00,c,Let’s make the roaring 20’s happen!
2022-01-02 17:56:50+00:00,c,Great work by Tesla team worldwide! https://t.co/lsDTCJtMrp
2022-01-01 01:58:52+00:00,c,@BLKMDL3 @Tesla 🔥
2022-01-01 00:53:13+00:00,c,@MiFSDBetaTester @WholeMarsBlog 🤣
2021-12-31 02:23:58+00:00,c,@TheBabylonBee 🤣
2021-12-30 21:11:23+00:00,c,@roshanpateI 🤣 $7
2021-12-30 20:47:53+00:00,c,@tesla_raj Many UI improvements coming
2021-12-30 20:28:51+00:00,c,@CSmithson80 @heydave7 @BLKMDL3 @mims This chart is a big deal
2021-12-30 18:23:14+00:00,c,"@BLKMDL3 @mims Predicting macroeconomics is challenging, to say the least. My gut feel is maybe around spring or summer 2022, but not later than 2023."
2021-12-30 18:15:45+00:00,c,"@mims If history is any guide, not many will make it past the next recession"
2021-12-30 17:35:45+00:00,c,@waitbutwhy 💯🙏
2021-12-30 08:42:50+00:00,c,@T_Ball5 Probably not wrong
2021-12-30 07:09:22+00:00,c,@heydave7 🤔
2021-12-30 06:27:15+00:00,c,https://t.co/OCUqr6xd9d
2021-12-30 06:18:38+00:00,c,https://t.co/mVhCpxVPZI
2021-12-29 17:21:54+00:00,c,@PPathole I do
2021-12-29 16:31:53+00:00,c,"@GailAlfarATX @SawyerMerritt Wow, working on this problem has soaked up a lot of my time &amp; brain cycles over the past ~7 years! This and Starship engines are currently the two hardest problems."
2021-12-29 16:22:17+00:00,c,@SawyerMerritt Ashok was the first person recruited from my tweet saying that Tesla is starting an Autopilot team!
2021-12-29 15:54:33+00:00,c,@esprit_tesla @chazman @lexfridman Yes
2021-12-29 08:38:39+00:00,c,@risermaker @engineers_feed ~700nm to ~400nm
2021-12-29 08:36:25+00:00,c,@SirineAti @engineers_feed FAA approval is the schedule driver. Their latest update says end of February.
2021-12-28 21:18:21+00:00,c,Lex asks great questions https://t.co/TlyuEGoOVA
2021-12-27 20:16:01+00:00,c,@cleantechnica Most people still have no idea that sustainable energy generation is growing so fast
2021-12-27 18:54:35+00:00,c,@SpaceXMR 🤣
2021-12-27 11:39:33+00:00,c,"@engineers_feed The resolution of the universe is not smaller than Planck length
https://t.co/hoyZR4d0pP"
2021-12-27 04:23:28+00:00,c,@karpathy All of reality can be simulated with ones &amp; zeroes
2021-12-27 04:12:00+00:00,c,"@lexfridman Yeah, the smarter someone is, the harder it is to simulate/predict their behavior"
2021-12-27 04:10:05+00:00,c,"@BillyM2k Now that the Webb telescope has been launched, they will have to spend more on rendering haha"
2021-12-27 04:08:47+00:00,c,"@BillyM2k It is simulations all the way down, until you get to one bit"
2021-12-27 03:56:00+00:00,c,"@PPathole People are able to break any laws made by humans, but none made by physics"
2021-12-27 03:51:33+00:00,c,Physics formulas are the rendering rules
